event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
2026-04-24 11:48:46.8970000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_SET_RoomType|NULL|select * from HT_SET_RoomType
2026-04-24 11:48:47.3280000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|39|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id|NULL|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id
2026-04-24 11:48:47.3330000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO|NULL|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO
2026-04-24 11:50:49.2120000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * From HT_Rooms  order by room_NO|NULL|select * From HT_Rooms  order by room_NO
2026-04-24 11:50:49.5020000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|290|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc|NULL|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc
2026-04-24 11:50:49.5030000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type|NULL|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type
2026-04-24 11:50:49.5220000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|18|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 11:50:49.5230000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'|NULL|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'
2026-04-24 11:50:49.6820000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|158|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc|NULL|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc
2026-04-24 11:50:49.6830000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_SET_RoomType|NULL|select * from HT_SET_RoomType
